location,date,total_cases,total_deaths,death_percentage
United States,2020-01-22,1,,
United States,2020-01-23,1,,
United States,2020-01-24,2,,
United States,2020-01-25,2,,
United States,2020-01-26,5,,
United States,2020-01-27,5,,
United States,2020-01-28,5,,
United States,2020-01-29,6,,
United States,2020-01-30,6,,
United States,2020-01-31,8,,
United States,2020-02-01,8,,
United States,2020-02-02,8,,
United States,2020-02-03,11,,
United States,2020-02-04,11,,
United States,2020-02-05,11,,
United States,2020-02-06,12,,
United States,2020-02-07,12,,
United States,2020-02-08,12,,
United States,2020-02-09,12,,
United States,2020-02-10,12,,
United States,2020-02-11,13,,
United States,2020-02-12,13,,
United States,2020-02-13,14,,
United States,2020-02-14,14,,
United States,2020-02-15,14,,
United States,2020-02-16,14,,
United States,2020-02-17,14,,
United States,2020-02-18,14,,
United States,2020-02-19,14,,
United States,2020-02-20,14,,
United States,2020-02-21,16,,
United States,2020-02-22,16,,
United States,2020-02-23,16,,
United States,2020-02-24,16,,
United States,2020-02-25,16,,
United States,2020-02-26,16,,
United States,2020-02-27,17,,
United States,2020-02-28,17,,
United States,2020-02-29,25,1,4
United States,2020-03-01,32,1,3.125
United States,2020-03-02,55,6,10.909090909090908
United States,2020-03-03,74,7,9.45945945945946
United States,2020-03-04,107,11,10.2803738317757
United States,2020-03-05,184,12,6.5217391304347823
United States,2020-03-06,237,14,5.9071729957805905
United States,2020-03-07,403,17,4.2183622828784122
United States,2020-03-08,519,21,4.0462427745664744
United States,2020-03-09,594,22,3.7037037037037033
United States,2020-03-10,782,28,3.5805626598465472
United States,2020-03-11,1147,33,2.8770706190061031
United States,2020-03-12,1586,43,2.7112232030264818
United States,2020-03-13,2219,51,2.298332582244254
United States,2020-03-14,2978,58,1.9476158495634655
United States,2020-03-15,3212,70,2.179327521793275
United States,2020-03-16,4679,97,2.0730925411412695
United States,2020-03-17,6512,134,2.0577395577395579
United States,2020-03-18,9169,194,2.1158250627113095
United States,2020-03-19,13663,266,1.9468637927248775
United States,2020-03-20,20030,372,1.8572141787319023
United States,2020-03-21,26025,475,1.8251681075888568
United States,2020-03-22,34898,596,1.7078342598429708
United States,2020-03-23,46136,788,1.7079937575862667
United States,2020-03-24,56755,1031,1.8165800370011451
United States,2020-03-25,68837,1364,1.9814925112947979
United States,2020-03-26,86693,1783,2.0566827771561718
United States,2020-03-27,105383,2305,2.1872598047123351
United States,2020-03-28,125013,2947,2.3573548350971496
United States,2020-03-29,143912,3571,2.4813775084774026
United States,2020-03-30,165987,4284,2.5809250121997507
United States,2020-03-31,192301,5369,2.791977160805196
United States,2020-04-01,224560,6652,2.9622372639829
United States,2020-04-02,256792,8164,3.1792267671890091
United States,2020-04-03,289087,9595,3.3190700377395044
United States,2020-04-04,321477,11158,3.4708548356492064
United States,2020-04-05,351354,12773,3.6353649026338108
United States,2020-04-06,382747,14544,3.7998991500913135
United States,2020-04-07,413516,17119,4.1398639955890459
United States,2020-04-08,444731,19279,4.3349800216310532
United States,2020-04-09,480667,21482,4.4692063320344433
United States,2020-04-10,515081,23676,4.5965585995212406
United States,2020-04-11,544183,25803,4.7416034679510393
United States,2020-04-12,571440,27677,4.8433781324373513
United States,2020-04-13,598380,29686,4.9610615328052408
United States,2020-04-14,627205,32120,5.1211326440318556
United States,2020-04-15,652611,34732,5.3220065245605728
United States,2020-04-16,682626,36875,5.40193312296924
United States,2020-04-17,715656,38985,5.4474496126630667
United States,2020-04-18,743588,40958,5.508157743266433
United States,2020-04-19,769684,42929,5.577483746576517
United States,2020-04-20,799512,45158,5.6481953991935079
United States,2020-04-21,825429,47672,5.7754210234920267
United States,2020-04-22,854288,50132,5.8682786133013689
United States,2020-04-23,887858,52588,5.9230192215421837
United States,2020-04-24,920185,54776,5.9527160299287649
United States,2020-04-25,950581,56487,5.94236577419494
United States,2020-04-26,977082,57886,5.9243748221745971
United States,2020-04-27,1000785,59394,5.9347412281359135
United States,2020-04-28,1025362,61618,6.0093898545099194
United States,2020-04-29,1051800,64036,6.0882297014641571
United States,2020-04-30,1081020,66231,6.1267136593217515
United States,2020-05-01,1115946,68140,6.1060302201002559
United States,2020-05-02,1143296,69871,6.1113657355575457
United States,2020-05-03,1167593,71061,6.0861104854174357
United States,2020-05-04,1191678,72440,6.0788233062958286
United States,2020-05-05,1216209,74682,6.1405564339681753
United States,2020-05-06,1240769,76996,6.2055064238387647
United States,2020-05-07,1268180,78925,6.2234856250689967
United States,2020-05-08,1295019,80688,6.2306421759063
United States,2020-05-09,1320155,82156,6.2232086383795844
United States,2020-05-10,1339022,83134,6.2085611737521864
United States,2020-05-11,1358293,84176,6.1971901496952428
United States,2020-05-12,1381241,85775,6.2099952144484565
United States,2020-05-13,1401649,87502,6.2427897426531178
United States,2020-05-14,1428467,89298,6.2513169712706
United States,2020-05-15,1453214,90966,6.2596424201803726
United States,2020-05-16,1477373,92164,6.2383704047657567
United States,2020-05-17,1495736,92985,6.2166719260618182
United States,2020-05-18,1518126,94212,6.2058090039957161
United States,2020-05-19,1539133,95668,6.2157071546123692
United States,2020-05-20,1561830,97169,6.2214837722415375
United States,2020-05-21,1587596,98354,6.1951529230358355
United States,2020-05-22,1611253,99571,6.1797247235536572
United States,2020-05-23,1632364,100660,6.1665167817962168
United States,2020-05-24,1652431,101299,6.1303013560021569
United States,2020-05-25,1671104,101891,6.0972267435180578
United States,2020-05-26,1690754,102568,6.0664058757217187
United States,2020-05-27,1709303,104030,6.0861064422165061
United States,2020-05-28,1731625,105131,6.0712336677975891
United States,2020-05-29,1756098,106264,6.0511429316587115
United States,2020-05-30,1779731,107218,6.0243935740850727
United States,2020-05-31,1798718,107833,5.9949919887386462
United States,2020-06-01,1816154,108609,5.980164677664999
United States,2020-06-02,1837656,109590,5.9635753372774882
United States,2020-06-03,1857511,110600,5.9542043088843082
United States,2020-06-04,1879150,111613,5.9395471356730436
United States,2020-06-05,1904550,112504,5.907117166784805
United States,2020-06-06,1925710,113146,5.8755472007727025
United States,2020-06-07,1943626,113605,5.8450031024487226
United States,2020-06-08,1961263,114112,5.8182915804764583
United States,2020-06-09,1979647,115025,5.810379325202927
United States,2020-06-10,2000757,115901,5.7928574034727855
United States,2020-06-11,2023890,116731,5.76765535676346
United States,2020-06-12,2048756,117560,5.7381162031984285
United States,2020-06-13,2073964,118295,5.7038116380033594
United States,2020-06-14,2092912,118640,5.6686568761610614
United States,2020-06-15,2112731,119036,5.6342241392775518
United States,2020-06-16,2136401,119850,5.6099018863967949
United States,2020-06-17,2163465,120589,5.5738826373433357
United States,2020-06-18,2191991,121278,5.5327781911513325
United States,2020-06-19,2223553,121907,5.48253178584005
United States,2020-06-20,2255823,122466,5.428883383137773
United States,2020-06-21,2280971,122783,5.3829268324761692
United States,2020-06-22,2313123,123190,5.3257003626698625
United States,2020-06-23,2350198,123938,5.2735131252771046
United States,2020-06-24,2386074,124675,5.22511036958619
United States,2020-06-25,2426391,125212,5.1604213830334844
United States,2020-06-26,2472385,125841,5.0898626225284493
United States,2020-06-27,2513731,126344,5.02615434984889
United States,2020-06-28,2554461,126662,4.9584628616369555
United States,2020-06-29,2595744,127047,4.8944348903435779
United States,2020-06-30,2642174,127600,4.8293564314840731
United States,2020-07-01,2693993,128304,4.7625958939017288
United States,2020-07-02,2750622,129017,4.6904663745145649
United States,2020-07-03,2801983,129687,4.6284006719526847
United States,2020-07-04,2847664,130002,4.5652155591389993
United States,2020-07-05,2898432,130328,4.4965001766472357
United States,2020-07-06,2941517,130704,4.4434215406540227
United States,2020-07-07,3002171,131866,4.3923547326251571
United States,2020-07-08,3062290,132691,4.3330644713596689
United States,2020-07-09,3124786,133711,4.2790450290035862
United States,2020-07-10,3192841,134528,4.2134262244815828
United States,2020-07-11,3252874,135256,4.1580460847853313
United States,2020-07-12,3311312,135728,4.098919099136535
United States,2020-07-13,3370208,136173,4.0404924562519584
United States,2020-07-14,3438244,137101,3.9875296808487124
United States,2020-07-15,3506364,138076,3.9378684015692613
United States,2020-07-16,3582184,139032,3.88120766549122
United States,2020-07-17,3654445,139956,3.8297470614552962
United States,2020-07-18,3716980,140813,3.7883712045800619
United States,2020-07-19,3777456,141293,3.7404274199355334
United States,2020-07-20,3839546,141856,3.6946034765568641
United States,2020-07-21,3904066,142947,3.6614903539028285
United States,2020-07-22,3974630,144171,3.6272810299323459
United States,2020-07-23,4043070,145241,3.5923444313355937
United States,2020-07-24,4116393,146348,3.5552484906081609
United States,2020-07-25,4181308,147278,3.5222949373736641
United States,2020-07-26,4236083,147809,3.4892847944669638
United States,2020-07-27,4292934,148935,3.4693056077731455
United States,2020-07-28,4359391,150265,3.4469264170155873
United States,2020-07-29,4431244,151679,3.4229439859326187
United States,2020-07-30,4498701,152910,3.3989811725651471
United States,2020-07-31,4567420,154147,3.3749250123702224
United States,2020-08-01,4623604,155240,3.3575539773734944
United States,2020-08-02,4669149,155677,3.3341621781613733
United States,2020-08-03,4714678,156258,3.3142878474415429
United States,2020-08-04,4773479,157540,3.3003182793932897
United States,2020-08-05,4827936,158978,3.2928771218176873
United States,2020-08-06,4887293,160222,3.27833833576174
United States,2020-08-07,4946590,161459,3.2640465451957814
United States,2020-08-08,5000709,162537,3.250279110422142
United States,2020-08-09,5046463,163060,3.2311739925567671
United States,2020-08-10,5094087,163696,3.2134512033265237
United States,2020-08-11,5142088,164716,3.2032901809537293
United States,2020-08-12,5198137,166215,3.1975879050513676
United States,2020-08-13,5249451,167282,3.1866570428031427
United States,2020-08-14,5314791,168618,3.1726177003009148
United States,2020-08-15,5361712,169618,3.1635044925949027
United States,2020-08-16,5400904,170235,3.1519723364829297
United States,2020-08-17,5437580,170727,3.1397607023712757
United States,2020-08-18,5482614,171953,3.1363324136990132
United States,2020-08-19,5529973,173292,3.1336861861712526
United States,2020-08-20,5574013,174395,3.1287153438644655
United States,2020-08-21,5622842,175486,3.1209484456436796
United States,2020-08-22,5665887,176395,3.1132812920554187
United States,2020-08-23,5700119,176940,3.1041457204665375
United States,2020-08-24,5736641,177413,3.0926285957235256
United States,2020-08-25,5777001,178649,3.0924176748454779
United States,2020-08-26,5822167,179815,3.0884548656883255
United States,2020-08-27,5867547,180929,3.0835543371020293
United States,2020-08-28,5914395,181906,3.07564848137468
United States,2020-08-29,5957126,182807,3.068711321533236
United States,2020-08-30,5991507,183260,3.0586628706267054
United States,2020-08-31,6026895,183802,3.049696402542271
United States,2020-09-01,6068759,184832,3.045630910701842
United States,2020-09-02,6109773,185911,3.0428462726847627
United States,2020-09-03,6153983,186948,3.0378374460897928
United States,2020-09-04,6204376,187906,3.0286043270104845
United States,2020-09-05,6247464,188668,3.0199133600449719
United States,2020-09-06,6278633,189137,3.0123913915656479
United States,2020-09-07,6302200,189432,3.0058074957951191
United States,2020-09-08,6329593,189885,2.9999559213364906
United States,2020-09-09,6363650,191045,3.0021292811515403
United States,2020-09-10,6399723,191961,2.99952044799439
United States,2020-09-11,6447501,193135,2.9955016680105984
United States,2020-09-12,6488563,193837,2.9873640742950327
United States,2020-09-13,6522914,194272,2.9783008023714554
United States,2020-09-14,6557342,194703,2.9692366205697369
United States,2020-09-15,6596849,195903,2.9696450532670977
United States,2020-09-16,6635867,196859,2.9665904997794561
United States,2020-09-17,6681004,197720,2.9594354381467216
United States,2020-09-18,6730288,198616,2.9510772793081066
United States,2020-09-19,6772447,199348,2.943515098752342
United States,2020-09-20,6810862,199613,2.9308037661018531
United States,2020-09-21,6862834,200040,2.9148308118774255
United States,2020-09-22,6902696,201072,2.9129487956589717
United States,2020-09-23,6941758,202128,2.91176961225096
United States,2020-09-24,6988869,203025,2.9049764704417838
United States,2020-09-25,7037151,203969,2.8984599023098978
United States,2020-09-26,7081803,204737,2.8910293042605111
United States,2020-09-27,7119311,205052,2.8802225383888973
United States,2020-09-28,7152546,205410,2.8718445152257672
United States,2020-09-29,7195994,206243,2.8660807666043078
United States,2020-09-30,7235428,207201,2.8637006684331596
United States,2020-10-01,7281081,208074,2.8577349984157574
United States,2020-10-02,7336043,208934,2.8480476463946571
United States,2020-10-03,7384578,209617,2.838577911967346
United States,2020-10-04,7420293,209998,2.8300499724202264
United States,2020-10-05,7459742,210479,2.8215318974838541
United States,2020-10-06,7504998,211165,2.813658311434593
United States,2020-10-07,7556060,212092,2.8069125973060034
United States,2020-10-08,7614653,213081,2.79830216820123
United States,2020-10-09,7671034,214049,2.7903539470689349
United States,2020-10-10,7725952,214707,2.7790361627926243
United States,2020-10-11,7771893,215178,2.7686691003079944
United States,2020-10-12,7813735,215572,2.7588854753840515
United States,2020-10-13,7865983,216368,2.7506797306833741
United States,2020-10-14,7925748,217358,2.7424288534028585
United States,2020-10-15,7990636,218207,2.7307838825345065
United States,2020-10-16,8059782,219144,2.718981729282504
United States,2020-10-17,8116518,219906,2.7093637936859132
United States,2020-10-18,8165858,220399,2.6990305244102943
United States,2020-10-19,8233610,220878,2.6826385995936168
United States,2020-10-20,8295581,221801,2.6737247216319147
United States,2020-10-21,8358864,222922,2.6668934917472038
United States,2020-10-22,8435164,223837,2.6536176415775676
United States,2020-10-23,8517113,224804,2.6394389742157935
United States,2020-10-24,8599842,225755,2.6251063682332769
United States,2020-10-25,8661982,226217,2.6116078283238178
United States,2020-10-26,8729385,226750,2.5975483954482477
United States,2020-10-27,8806228,227723,2.5859312295797929
United States,2020-10-28,8885632,228758,2.5744707860960259
United States,2020-10-29,8976684,229762,2.5595420313336192
United States,2020-10-30,9075924,230823,2.54324518363089
United States,2020-10-31,9165619,231733,2.5282853236644467
United States,2020-11-01,9270467,232229,2.50504100818222
United States,2020-11-02,9355775,232801,2.4883133679465357
United States,2020-11-03,9482891,234379,2.471598587392811
United States,2020-11-04,9587499,235494,2.4562610123870678
United States,2020-11-05,9716853,236649,2.4354490080275992
United States,2020-11-06,9844858,237888,2.4163680166844457
United States,2020-11-07,9972308,238969,2.3963259056980593
United States,2020-11-08,10087380,239540,2.37465030562941
United States,2020-11-09,10207953,240319,2.354233018118324
United States,2020-11-10,10348449,241737,2.3359732458458269
United States,2020-11-11,10495075,243173,2.3170201261067689
United States,2020-11-12,10659914,244377,2.2924856617042124
United States,2020-11-13,10840303,245577,2.2654071569770697
United States,2020-11-14,11008064,246924,2.2431192260510113
United States,2020-11-15,11144288,247700,2.2226633051837856
United States,2020-11-16,11307233,248529,2.1979647894405288
United States,2020-11-17,11471155,250250,2.1815588752832649
United States,2020-11-18,11644332,252168,2.16558579745064
United States,2020-11-19,11835880,254220,2.1478757810995042
United States,2020-11-20,12034177,256177,2.1287454887858139
United States,2020-11-21,12213451,257796,2.1107547735689116
United States,2020-11-22,12360235,258828,2.0940378560763611
United States,2020-11-23,12534684,259928,2.0736701459725673
United States,2020-11-24,12710198,262057,2.0617853474823917
United States,2020-11-25,12893485,264320,2.0500275914541337
United States,2020-11-26,13005807,265705,2.0429720354915308
United States,2020-11-27,13213995,267254,2.0225071978610556
United States,2020-11-28,13369528,268614,2.0091509588072221
United States,2020-11-29,13509762,269650,1.995964103586725
United States,2020-11-30,13670332,270996,1.9823659001112774
United States,2020-12-01,13858551,273540,1.9737994253511786
United States,2020-12-02,14061108,276352,1.9653643226408617
United States,2020-12-03,14284721,279305,1.955270949989153
United States,2020-12-04,14517506,282004,1.9425099600441014
United States,2020-12-05,14733048,284357,1.9300622654592587
United States,2020-12-06,14914060,285703,1.9156621335840138
United States,2020-12-07,15108918,287307,1.9015723031920617
United States,2020-12-08,15333410,289926,1.8908122850690094
United States,2020-12-09,15555949,293108,1.8842180570275719
United States,2020-12-10,15787464,296103,1.8755577209867271
United States,2020-12-11,16027441,299520,1.8687948999469097
United States,2020-12-12,16245026,301979,1.8589013030819403
United States,2020-12-13,16432729,303605,1.8475628728496649
United States,2020-12-14,16627550,305255,1.8358387134604919
United States,2020-12-15,16836556,308372,1.8315622268592222
United States,2020-12-16,17083256,312036,1.8265604636493182
United States,2020-12-17,17322981,315535,1.8214821109600017
United States,2020-12-18,17574950,318500,1.8122384416456379
United States,2020-12-19,17766856,321153,1.8075961216773524
United States,2020-12-20,17954675,322867,1.7982336076815648
United States,2020-12-21,18153724,324783,1.7890709366298618
United States,2020-12-22,18351735,328182,1.7882886822417607
United States,2020-12-23,18581353,331606,1.7846170835891229
United States,2020-12-24,18775557,334512,1.7816355594670239
United States,2020-12-25,18873203,335937,1.7799681378937109
United States,2020-12-26,19099491,337821,1.7687434707029628
United States,2020-12-27,19255126,339248,1.7618581150806285
United States,2020-12-28,19429760,341251,1.7563315244243882
United States,2020-12-29,19630012,344882,1.7569118144196754
United States,2020-12-30,19863696,348613,1.7550258521878304
United States,2020-12-31,20099363,352093,1.7517619837006775
United States,2021-01-01,20252991,354242,1.7490848635641025
United States,2021-01-02,20553301,356749,1.735726051985518
United States,2021-01-03,20762047,358196,1.7252441437975747
United States,2021-01-04,20946329,360288,1.7200531892724498
United States,2021-01-05,21181440,364002,1.718495059825961
United States,2021-01-06,21436884,367928,1.7163315340046621
United States,2021-01-07,21715174,371913,1.712687174415457
United States,2021-01-08,22010389,376020,1.7083750768784687
United States,2021-01-09,22271084,379341,1.7032893414617805
United States,2021-01-10,22484332,381340,1.6960254812106494
United States,2021-01-11,22699326,383443,1.6892263673379555
United States,2021-01-12,22926246,387917,1.6920214500010164
United States,2021-01-13,23156608,391946,1.6925881372608631
United States,2021-01-14,23392315,395932,1.6925729668055514
United States,2021-01-15,23635046,399824,1.6916573803156549
United States,2021-01-16,23836726,403228,1.6916249320481345
United States,2021-01-17,24014508,405125,1.6870010412039256
United States,2021-01-18,24157924,406660,1.6833400088517538
United States,2021-01-19,24334630,409392,1.6823432285594644
United States,2021-01-20,24517866,413800,1.687748844047031
United States,2021-01-21,24711684,418004,1.6915237342788942
United States,2021-01-22,24902437,421849,1.6940068957909622
United States,2021-01-23,25073050,425194,1.6958208115885383
United States,2021-01-24,25204112,427093,1.6945369866631286
United States,2021-01-25,25356081,429066,1.6921621286822675
United States,2021-01-26,25503621,433073,1.6980843622166435
United States,2021-01-27,25657566,437033,1.7033299261512178
United States,2021-01-28,25826176,441070,1.7078409130333503
United States,2021-01-29,25992744,444704,1.71087746641909
United States,2021-01-30,26135056,447490,1.7122213168397264
United States,2021-01-31,26247053,449341,1.7119674349726044
United States,2021-02-01,26382255,451408,1.7110288714895676
United States,2021-02-02,26497588,454837,1.7165222736499639
United States,2021-02-03,26619229,458743,1.723351942312078
United States,2021-02-04,26743204,462479,1.729332805448442
United States,2021-02-05,26877601,466167,1.7344070253889103
United States,2021-02-06,26981588,468808,1.7375107795730926
United States,2021-02-07,27071236,470244,1.7370614330280303
United States,2021-02-08,27161551,471861,1.7372387902296154
United States,2021-02-09,27257183,474935,1.7424214380480918
United States,2021-02-10,27352360,478245,1.7484597307142784
United States,2021-02-11,27458120,481452,1.7534048215973999
United States,2021-02-12,27557758,484381,1.757693786265196
